Head office country	Agriculture and Rural Development	Audiovisual and Media	Budget	Climate Action	Communication	Competition	Consumer Affairs	Culture	Customs	Development	Economic and Financial Affairs	Education	Employment and Social Affairs	Energy	Enlargement	Enterprise	Environment	External Relations	Financial Services and Capital Markets Union	Financial Stability	Fisheries and Aquaculture	Food Safety	Foreign and Security Policy and Defence	General and Institutional Affairs	Home Affairs	Humanitarian Aid	Information Society	Internal Market	Justice and Fundamental Rights	Public Health	Regional Policy	Research and Technology	Sport	Taxation	Trade	Trans-European Networks	Transport	Youth
Albania	1.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0
Argentina	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Armenia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Australia	5.0	0.0	2.0	6.0	1.0	6.0	2.0	1.0	0.0	3.0	5.0	2.0	2.0	6.0	1.0	6.0	6.0	5.0	1.0	1.0	1.0	1.0	1.0	3.0	0.0	0.0	2.0	6.0	0.0	2.0	1.0	4.0	0.0	3.0	8.0	4.0	4.0	0.0
Austria	49.0	52.0	18.0	69.0	49.0	79.0	58.0	47.0	22.0	46.0	68.0	67.0	58.0	76.0	35.0	76.0	93.0	38.0	17.0	17.0	20.0	34.0	25.0	52.0	29.0	23.0	75.0	82.0	66.0	49.0	61.0	90.0	12.0	52.0	47.0	60.0	49.0	32.0
Azerbaijan	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Bahamas	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Belarus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
Belgium	475.0	396.0	323.0	708.0	382.0	802.0	775.0	444.0	392.0	508.0	731.0	662.0	769.0	813.0	377.0	953.0	1068.0	551.0	128.0	128.0	208.0	514.0	342.0	595.0	388.0	285.0	706.0	1027.0	616.0	730.0	512.0	983.0	191.0	548.0	761.0	526.0	584.0	437.0
Belize	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Benin	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Bermuda	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
