Identification number,Section,Subsection,Head office country,Head office city,Level of interest,Fields of interest,Estimate of costs (absolute amount),Estimate of costs (as a range)
285977820662-03,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Germany,Düsseldorf,global,"Economic and Financial Affairs		Trade		Competition		Consumer Affairs		Development		Customs		Enlargement		Employment and Social Affairs		Energy		Enterprise		Taxation		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Information Society		Transport		Climate Action		Communication		Financial Stability		Financial Services and Capital Markets Union",0,
883205720957-12,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Spain,Barcelona,global,"Economic and Financial Affairs		Agriculture and Rural Development		Trade		Consumer Affairs		Development		Education		Energy		Enterprise		Environment		Youth		Fisheries and Aquaculture		Regional Policy		Research and Technology		Food Safety		Communication",0,
060710021214-47,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Czech Republic,Praha 9,national,Environment,,10000-24999
701655220814-05,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Netherlands,Utrecht,national,"Education		Employment and Social Affairs		Youth		Research and Technology",,0-9999
983848320919-22,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Bulgaria,Sofia,"European		global		national		regional/local","Economic and Financial Affairs		Agriculture and Rural Development		Trade		Development		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Regional Policy		Research and Technology		Transport		Climate Action",0,
294010220448-70,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Portugal,Carnaxide,"European		global","Education		Research and Technology		Public Health		Information Society",,0-9999
542750720740-76,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United States,Danvers,global,"Culture		Internal Market		Research and Technology",0,
431655212354-82,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"Budget		Employment and Social Affairs		Youth		Research and Technology		External Relations		Public Health		Communication",,25000-49999
233619520602-97,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",United Kingdom,London,national,Environment,,0-9999
577792020733-91,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"Competition		Culture		Education		Enlargement		Energy		Environment		Youth		Justice and Fundamental Rights		Internal Market		Regional Policy		External Relations		Trans-European Networks		Public Health",,0-9999
283171720947-78,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United Kingdom,London,global,"Economic and Financial Affairs		Financial Stability		Financial Services and Capital Markets Union",50000,
932640120950-51,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Bruxelles,European,"Energy		Environment		Taxation		Public Health		Transport		Climate Action",,0-9999
956197420952-50,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Germany,Potsdam,national,"Culture		Education		Youth",0,
168961721060-43,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Netherlands,Tilburg,"European		national		regional/local","General and Institutional Affairs		Agriculture and Rural Development		Education		Environment		Fisheries and Aquaculture		Regional Policy		Food Safety		Climate Action",,900000-999999
647192320834-84,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Denmark,Thyborøn,regional/local,"Enterprise		Fisheries and Aquaculture		Regional Policy		Transport",5500000,
764028214726-89,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,France,Palaiseau Cedex,"European		global		national		regional/local","Development		Education		Enlargement		Energy		Enterprise		Environment		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Information Society		Transport		Climate Action		Home Affairs",,300000-399999
704976121394-53,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Greece,Athens,global,"Humanitarian Aid		Development		Foreign and Security Policy and Defence		Research and Technology		Trans-European Networks		Communication",,25000-49999
808569621268-80,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,Germany,Mössingen,global,"Audiovisual and Media		Information Society",,0-9999
267209021407-48,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Netherlands,Velp,"European		national","Trade		Competition		Energy		Internal Market		Climate Action",250000,
141532321289-19,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Spain,Madrid,global,"General and Institutional Affairs		Trade		Competition		Consumer Affairs		Development		Customs		Employment and Social Affairs		Energy		Enterprise		Environment		Internal Market		Foreign and Security Policy and Defence		Trans-European Networks		Public Health		Transport		Climate Action		Home Affairs		Communication",,50000-99999
993290221302-35,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Belgium,Brussels,European,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",0,
819849621312-18,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,United Kingdom,Leeds,"European		global","Economic and Financial Affairs		Agriculture and Rural Development		Trade		Consumer Affairs		Taxation		Food Safety",0,
537444021335-19,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Spain,MADRID,national,"Audiovisual and Media		Culture		Foreign and Security Policy and Defence		Regional Policy		External Relations		Information Society		Communication",,10000-24999
566381821229-94,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Germany,Münster,global,"Agriculture and Rural Development		Trade		Development		Employment and Social Affairs		Environment		Internal Market		Climate Action",,0-9999
998654321393-02,II - In-house lobbyists and trade/business/professional associations,Other organisations,Portugal,Barco,"European		national",Public Health,0,
294374512534-54,"IV - Think tanks		research and academic institutions",Academic institutions,United Kingdom,Bournemouth,"European		national","Audiovisual and Media		Culture		Education		Justice and Fundamental Rights		Research and Technology		Information Society		Communication",,0-9999
101313421415-54,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,"Russia",Moscow,"European		national		regional/local","General and Institutional Affairs		Audiovisual and Media		Trade		Competition		Consumer Affairs		Development		Energy		Environment		Internal Market		Regional Policy		External Relations		Trans-European Networks		Information Society		Climate Action		Communication",,100000-199999
462666621242-31,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",United Kingdom,Moreton-in-Marsh,global,"Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Trade		Culture		Development		Customs		Education		Environment		Justice and Fundamental Rights		External Relations		Information Society		Climate Action		Communication",,4750000-4999999
938633121266-77,II - In-house lobbyists and trade/business/professional associations,Other organisations,United Kingdom,Craigavon,regional/local,"Agriculture and Rural Development		Environment		Food Safety		Climate Action",0,
723557516966-54,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Netherlands,Amsterdam,"European		global		national		regional/local","Development		Education		Enlargement		Employment and Social Affairs		Youth		Justice and Fundamental Rights		Home Affairs",,0-9999
773286221518-35,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Hungary,Budapest,European,"General and Institutional Affairs		Budget		Trade		Culture		Education		Enlargement		Employment and Social Affairs		Energy		Justice and Fundamental Rights		Foreign and Security Policy and Defence		Research and Technology		External Relations		Trans-European Networks		Information Society		Home Affairs",,1250000-1499999
886762421281-19,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Consumer Affairs		Culture		Development		Education		Energy		Environment		Youth		Internal Market		Fisheries and Aquaculture		Regional Policy		Trans-European Networks		Public Health		Food Safety		Climate Action		Communication",,0-9999
465400021524-24,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Poland,Warszawa,"European		national","Economic and Financial Affairs		Competition		Employment and Social Affairs		Enterprise		Internal Market",1000,
677136722123-94,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Ukraine,Kyiv,national,"Economic and Financial Affairs		Budget",,0-9999
914821915564-83,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Armenia,Yerevan,national,"Agriculture and Rural Development		Environment",,0-9999
714665321271-91,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Romania,Magurele,European,"Budget		Development		Education		Energy		Youth		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		Trans-European Networks		Public Health",,>10000000
922046321682-57,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United States,Palo Alto,global,"Energy		Enterprise		Research and Technology		Climate Action",,100000-199999
804883820905-92,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",United Kingdom,London,European,"General and Institutional Affairs		Audiovisual and Media		Culture		Development		Education		Regional Policy		Research and Technology		External Relations		Information Society",2200,
946395520700-17,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Netherlands,Veghel,global,"Trade		Competition		Customs		Enlargement		Taxation		Justice and Fundamental Rights		Internal Market		External Relations		Information Society		Transport		Financial Stability		Financial Services and Capital Markets Union",,50000-99999
205215521290-52,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Portugal,Lisboa,national,"Competition		Consumer Affairs		Energy		Environment		Taxation		Internal Market		Research and Technology		Trans-European Networks		Transport		Climate Action",,0-9999
359523020862-16,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Italy,Padova,national,"Agriculture and Rural Development		Environment",300000,
979276720920-77,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",,100000-199999
234170920729-15,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Egelsbach,European,"Economic and Financial Affairs		Consumer Affairs		Energy		Environment		Regional Policy		Trans-European Networks		Transport",,100000-199999
771875220731-58,I - Professional consultancies/law firms/self-employed consultants,Law firms,Lituania,Vilnius,"European		national","Audiovisual and Media		Culture		Internal Market		Research and Technology		Trans-European Networks		Information Society",,0-9999
959550220750-54,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United Kingdom,Leeds,global,"Consumer Affairs		Research and Technology",,0-9999
743465720754-25,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Isle Of Man,Douglas,"European		global","Consumer Affairs		Research and Technology		Financial Stability		Financial Services and Capital Markets Union",,25000-49999
687852220868-21,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Italy,Roma,global,"Humanitarian Aid		Development		Public Health",,10000-24999
899865419498-82,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussel,European,Environment,,50000-99999
109312920685-07,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Spain,Madrid,national,"Economic and Financial Affairs		Agriculture and Rural Development		Competition		Consumer Affairs		Education		Enterprise		Research and Technology		Food Safety		Information Society		Climate Action		Communication",,0-9999
948881920668-64,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Finland,Turku,global,"Audiovisual and Media		Enterprise		Environment		Fisheries and Aquaculture		Research and Technology		Food Safety		Information Society		Communication",1000,
373620420777-24,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,France,Le Chesnay Cedex,"European		global		national		regional/local","Research and Technology		External Relations		Information Society",,25000-49999
021805021342-48,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Germany,Frankfurt,European,"Research and Technology		Information Society",0,
220846521375-28,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Italy,Bologna,national,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",,10000-24999
