Year	Number of Stages	The Starters	Classified Riders	Distance Cycled	Winning Time	Average Speed(km/h)	Winner	Age	Country
1903	6	64	21	2428	"94h 33' 14"""	25.679	M. GARIN	32	France
1904	6	86	15	2428	"96h 05' 55"""	25.265	H. CORNET (GEBOREN JARDY)	19	France
1905	11	59	24	2994	"00' 00"""	27.107	L. TROUSSELIER	24	France
1906	13	78	14	4545	"00' 00"""	24.463	R. POTTIER	27	France
1907	14	93	33	4488	"47h 00' 00"""	28.47	L. MAZAN DIT PETIT-BRETON	24	France
1908	14	111	36	4488	"00' 00"""	28.74	L. MAZAN DIT PETIT-BRETON	25	France
1909	14	150	54	4497	"37h 00' 00"""	28.658	F. FABER	22	Luxembourg
1910	15	110	41	4734	"63h 00' 00"""	29.099	O. LAPIZE	22	France
1911	15	83	28	5343	"43h 00' 00"""	27.322	G. GARRIGOU	26	France
1912	15	131	41	5289	"49h 00' 00"""	27.763	O. DEFRAEYE	24	Belgium
1913	15	140	25	5287	"197h 54' 00"""	26.715	Ph. THYS	23	Belgium
1914	15	144	53	5380	"200h 28' 48"""	26.835	Ph. THYS	24	Belgium
1915									
1916									
1917									
1918									
1919	15	63	10	5560	"231h 07' 15"""	24.056	F. LAMBOT	33	Belgium
1920	15	111	22	5503	"228h 36' 13"""	24.072	Ph. THYS	30	Belgium
1921	15	121	37	5485	"221h 50' 26"""	24.724	L. SCIEUR	33	Belgium
1922	15	119	38	5375	"222h 08' 06"""	24.196	F. LAMBOT	36	Belgium
1923	15	139	29	5386	"222h 15' 30"""	24.233	H. PELISSIER	34	France
1924	15	153	60	5425	"226h 18' 21"""	24.25	O. BOTTECCHIA	29	Italy
1925	18	129	49	5440	"219h 10' 18"""	24.82	O. BOTTECCHIA	30	Italy
1926	17	126	40	5745	"238h 44' 25"""	24.273	L. BUYSSE	33	Belgium
1927	24	140	39	5340	"198h 16' 42"""	27.224	N. FRANTZ	27	Luxembourg
1928	22	162	40	5476	"192h 48' 58"""	28.4	N. FRANTZ	28	Luxembourg
1929	22	154	59	5257	"186h 39' 15"""	28.319	M. DE WAELE	32	Belgium
1930	21	100	58	4822	"172h 12' 16"""	28	A. LEDUCQ	26	France
1931	24	81	35	5091	"177h 10' 03"""	28.735	A. MAGNE	27	France
1932	21	80	57	4479	"154h 11' 49"""	29.047	A. LEDUCQ	28	France
1933	23	80	40	4395	"147h 51' 37"""	29.818	G. SPEICHER	26	France
1934	23	60	39	4470	"147h 13' 58"""	30.36	A. MAGNE	30	France
1935	21	93	46	4338	"141h 32' 00"""	30.65	R. MAES	22	Belgium
1936	21	90	43	4418	"142h 47' 32"""	31.108	S. MAES	26	Belgium
1937	20	98	46	4415	"138h 58' 31"""	31.768	R. LAPEBIE	26	France
1938	21	96	55	4687	"148h 29' 12"""	31.565	G. BARTALI	24	Italy
1939	18	80	49	4224	"132h 03' 17"""	31.986	S. MAES	29	Belgium
1940									
1941									
1942									
1943									
1944									
1945									
1946									
1947	21	100	52	4640	"148h 11' 25"""	31.412	J. ROBIC	26	France
1948	21	120	43	4922	"147h 10' 36"""	33.442	G. BARTALI	34	Italy
1949	21	120	54	4808	"149h 40' 49"""	32.121	F. COPPI	29	Italy
1950	22	116	50	4773	"145h 36' 56"""	32.778	F. KUBLER	31	Switzerland
1951	24	123	66	4690	"142h 20' 14"""	32.949	H. KOBLET	26	Switzerland
1952	23	123	78	4898	"151h 57' 20"""	32.233	F. COPPI	32	Italy
1953	22	119	76	4476	"129h 23' 25"""	34.593	L. BOBET	28	France
1954	23	110	69	4656	"140h 06' 05"""	33.229	L. BOBET	29	France
1955	22	130	69	4495	"130h 29' 26"""	34.446	L. BOBET	30	France
1956	22	120	88	4498	"124h 01' 16"""	36.268	R. WALKOWIAK	29	France
1957	22	120	55	4665	"135h 44' 42"""	34.25	J. ANQUETIL	23	France
1958	24	120	78	4319	"116h 59' 05"""	36.919	Ch. GAUL	25	Luxembourg
1959	22	120	65	4391	"123h 46' 45"""	35.474	F. BAHAMONTES	31	Spain
1960	21	128	81	4173	"112h 08' 42"""	37.21	G. NENCINI	30	Italy
1961	21	132	72	4397	"122h 01' 33"""	36.033	J. ANQUETIL	27	France
1962	22	150	93	4274	"114h 31' 54"""	37.317	J. ANQUETIL	28	France
1963	21	130	75	4137	"113h 30' 05"""	37.092	J. ANQUETIL	29	France
1964	22	132	80	4504	"127h 09' 44"""	35.419	J. ANQUETIL	30	France
1965	22	130	96	4177	"116h 42' 06"""	35.886	F. GIMONDI	22	Italy
1966	22	130	82	4322	"117h 34' 21"""	36.76	L. AIMAR	25	France
1967	22	130	87	4758	"136h 53' 50"""	34.756	R. PINGEON	26	France
1968	22	110	63	4492	"133h 49' 42"""	33.556	J. JANSSEN	28	Netherlands
1969	22	130	86	4117	"116h 16' 02"""	35.409	E. MERCKX	24	Belgium
1970	23	147	99	4254	"119h 31' 49"""	35.589	E. MERCKX	25	Belgium
